id,department,tenure,job_role,monthly_income,age,overtime,distance_from_home,engagementScore,job_satisfaction,environment_satisfaction,work_life_balance,attrition,comment,sentiment_score,positive_score,neutral_score,negative_score,sentiment,textblob_polarity,textblob_subjectivity,extracted_keywords,overtime_encoded,predicted_engagement,risk_cluster,turnover_risk,attrition_probability
11,Research & Development,5,Laboratory Technician,2426,35,No,16,50,2,1,3,0,The work in Laboratory Technician is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"laboratory, technician, challenges, balance, overtime",0,50.12713141476809,0,Medium,0.33345393138311563
12,Research & Development,9,Laboratory Technician,4193,29,Yes,15,82,3,4,3,0,Great career growth opportunities in Laboratory Technician. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, laboratory",1,82.34723616926783,1,Low,0.13303702613208604
13,Research & Development,5,Research Scientist,2911,31,No,26,52,3,1,2,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,52.696098507977815,0,Medium,0.36399635008489206
14,Research & Development,2,Laboratory Technician,2661,34,No,19,78,4,2,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,77.52260653540976,1,Low,0.22528097485147816
15,Research & Development,4,Laboratory Technician,2028,28,Yes,24,75,3,3,3,1,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,74.94021422951386,1,Low,0.2575486419373178
16,Research & Development,10,Manufacturing Director,9980,29,No,21,48,1,2,3,0,The work in Manufacturing Director is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"director, challenges, balance, overtime, requirements",0,47.52040798684078,0,Medium,0.18414607804699903
17,Research & Development,6,Research Scientist,3298,32,Yes,5,42,2,1,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 6 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,42.69555698126017,0,Medium,0.33332103679233793
18,Research & Development,1,Laboratory Technician,2935,22,Yes,16,85,4,4,2,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,84.91282701834959,1,Low,0.1825839974871446
19,Sales,25,Manager,15427,53,No,2,70,4,1,3,0,I really appreciate the Sales team culture. Work-life balance is excellent and management is supportive.,0.8357,0.426,0.574,0.0,Positive,0.5666666666666667,0.7333333333333334,"sales, team, culture, balance, excellent",0,70.10424470547235,2,Low,0.025713395135448135
20,Research & Development,3,Research Scientist,3944,38,Yes,2,92,4,4,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,92.33611408559109,1,Low,0.09886746156799646
21,Research & Development,4,Manufacturing Director,4011,24,No,11,52,3,1,2,0,The work in Manufacturing Director is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"director, challenges, balance, overtime, requirements",0,52.69585723358014,0,Medium,0.27314561153022215
22,Sales,5,Sales Representative,3407,36,No,9,55,1,3,3,1,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,54.93730688912789,0,Medium,0.25427411944574446
23,Research & Development,12,Research Director,11994,34,No,7,50,2,1,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 12 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,50.10304089301526,2,Low,0.1173971789754451
24,Research & Development,0,Research Scientist,1232,21,No,15,85,4,3,3,0,Very satisfied with my role after 0 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.93944412801402,1,Low,0.20333079150867286
25,Research & Development,4,Research Scientist,2960,34,No,6,48,1,2,3,1,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,47.528011518645584,0,Medium,0.31695825258579935
26,Research & Development,14,Manager,19094,53,No,5,68,3,3,2,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,67.4640897838025,2,Low,0.02901054351936909
27,Research & Development,10,Research Scientist,3919,32,Yes,16,48,1,2,3,1,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",1,47.53756105658277,0,Medium,0.28877000654674767
28,Sales,9,Sales Executive,6825,42,No,8,65,2,3,3,0,The work in Sales Executive is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"sales, executive, okay, challenges, balance",0,64.93091086353876,0,Medium,0.12586971840691832
29,Research & Development,22,Healthcare Representative,10248,44,No,7,70,4,1,3,0,Great career growth opportunities in Healthcare Representative. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, healthcare",0,70.11862235034137,2,Low,0.054596427073947976
30,Sales,2,Manager,18947,46,No,2,40,1,2,2,0,Decent experience in Sales but career advancement opportunities could be better after 2 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",0,40.03711121791645,2,Low,0.11092812573614654
31,Research & Development,1,Laboratory Technician,2496,33,No,2,85,4,3,3,0,Great career growth opportunities in Laboratory Technician. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, laboratory",0,84.92889497586626,1,Low,0.14947742161020386
32,Research & Development,4,Healthcare Representative,6465,44,Yes,10,100,4,4,4,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,99.75605748227149,1,Low,0.07093648299260105
33,Research & Development,10,Laboratory Technician,2206,30,No,9,82,3,4,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,82.35379862305074,1,Low,0.13208667981547598
34,Sales,1,Sales Representative,2086,39,No,5,100,4,4,4,1,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",0,99.76520093992664,1,Low,0.10736911805372391
35,Research & Development,2,Research Scientist,2293,24,Yes,1,70,4,2,2,1,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,70.10254084596475,1,Low,0.20484732388340948
36,Research & Development,5,Research Scientist,2645,43,No,2,75,3,4,2,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,74.9093686484687,1,Low,0.1612019187098314
37,Sales,3,Sales Representative,2683,50,Yes,3,60,3,1,3,1,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",1,60.118776351010396,0,Medium,0.23098445288505154
38,Sales,2,Sales Representative,2014,35,No,2,92,4,4,3,0,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",0,92.33949335375624,1,Low,0.12165714040269719
39,Research & Development,1,Research Scientist,3419,36,Yes,5,55,1,2,4,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",1,54.95300514093322,0,Medium,0.28518161664534275
40,Sales,5,Sales Executive,5376,33,No,1,55,1,3,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,54.92962696276952,0,Medium,0.20171664096684264
41,Research & Development,1,Laboratory Technician,1951,35,No,4,85,4,3,3,0,Very satisfied with my role after 1 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.93323824016196,1,Low,0.15129631223185283
42,Research & Development,1,Laboratory Technician,2341,27,No,2,62,1,4,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,62.342587905602485,0,Medium,0.2513144494359335
43,Research & Development,1,Laboratory Technician,2293,26,No,25,52,3,1,2,1,The work in Laboratory Technician is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"laboratory, technician, challenges, balance, overtime",0,52.69480887052706,0,Medium,0.40919722151852095
44,Sales,9,Sales Executive,8726,27,No,8,82,3,4,3,0,I really appreciate the Sales team culture. Work-life balance is excellent and management is supportive.,0.8357,0.426,0.574,0.0,Positive,0.5666666666666667,0.7333333333333334,"sales, team, culture, balance, excellent",0,82.33240571547506,1,Low,0.07533262348182862
45,Research & Development,12,Laboratory Technician,4011,30,No,1,85,4,3,3,0,Great career growth opportunities in Laboratory Technician. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, laboratory",0,84.94321260285818,1,Low,0.08406693119050358
46,Research & Development,22,Research Director,19545,41,No,12,68,3,2,3,1,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,67.5029187370615,2,Low,0.02304535306439942
47,Sales,9,Sales Executive,4568,34,No,23,68,3,2,3,0,Decent experience in Sales but career advancement opportunities could be better after 9 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",0,67.52806453085027,1,Low,0.2070867599685939
48,Research & Development,1,Research Scientist,3022,37,No,19,58,2,2,3,0,The work in Research Scientist is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"research, scientist, challenges, balance, overtime",0,57.524711635132014,0,Medium,0.3195734293725114
49,Sales,9,Sales Executive,5772,46,Yes,5,70,4,1,3,0,Great career growth opportunities in Sales Executive. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, sales",1,70.11390455622113,1,Low,0.13153126305899804
50,Research & Development,1,Laboratory Technician,2269,35,No,8,92,4,4,3,0,Very satisfied with my role after 1 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,92.33902047359446,1,Low,0.13231036939409527
51,Research & Development,1,Laboratory Technician,5381,48,Yes,1,60,3,1,3,1,Decent experience in Research & Development but career advancement opportunities could be better after 1 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,60.10323769645122,1,Low,0.21067090001785857
52,Research & Development,2,Laboratory Technician,3441,28,Yes,5,68,3,3,2,1,The work in Laboratory Technician is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"laboratory, technician, challenges, balance, overtime",1,67.5098177314047,0,Medium,0.18906601039688362
53,Sales,4,Sales Executive,5454,44,Yes,1,40,1,2,2,0,Decent experience in Sales but career advancement opportunities could be better after 4 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",1,40.08753704096027,0,Medium,0.2997156688699841
54,Research & Development,4,Healthcare Representative,9884,35,Yes,11,55,1,3,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 4 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,54.91314700716583,0,Medium,0.17881456837746823
55,Sales,2,Sales Executive,4157,26,Yes,23,78,4,3,2,0,Very satisfied with my role after 2 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",1,77.50368593478944,1,Low,0.2054948920673286
56,Research & Development,15,Research Director,13458,33,Yes,1,70,4,1,3,0,Great career growth opportunities in Research Director. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",1,70.10477671508178,2,Low,0.04740441849922631
57,Sales,9,Sales Executive,9069,35,No,18,40,1,2,2,0,Decent experience in Sales but career advancement opportunities could be better after 9 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",0,40.084243017148935,0,Medium,0.2596746047089779
58,Research & Development,2,Laboratory Technician,4014,35,Yes,23,55,1,3,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",1,54.92959185742821,0,Medium,0.3493084787577364
59,Research & Development,7,Laboratory Technician,5915,31,No,7,85,4,4,2,0,Very satisfied with my role after 7 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.90928316390568,1,Low,0.09012495109357627
60,Research & Development,7,Manufacturing Director,5993,37,No,1,68,3,1,4,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,67.54414842235701,1,Low,0.12788019842456508
61,Research & Development,9,Manufacturing Director,6162,32,Yes,1,70,4,1,3,0,Very satisfied with my role after 9 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",1,70.12265047492939,1,Low,0.10916285143758123
62,Research & Development,10,Laboratory Technician,2406,38,No,29,92,4,4,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,92.34822194642936,1,Low,0.14634142405526776
63,Research & Development,27,Research Director,18740,50,Yes,7,60,3,2,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 27 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,60.07851610267447,2,Low,0.025506391025039564
64,Sales,21,Sales Executive,7637,59,No,25,32,1,1,2,0,Poor management communication and support. High stress environment with unrealistic expectations and deadlines.,-0.4939,0.145,0.538,0.317,Negative,-0.24666666666666667,0.7133333333333333,"poor, management, communication, support, high",0,32.70433155136288,0,Medium,0.2046717265863583
65,Research & Development,17,Healthcare Representative,10096,36,No,8,75,3,3,3,0,Great career growth opportunities in Healthcare Representative. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, healthcare",0,74.9287663679924,2,Low,0.060086871772178946
66,Research & Development,5,Manager,14756,55,Yes,8,82,3,4,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,82.29674418333933,2,Low,0.05051458717311264
67,Research & Development,6,Manufacturing Director,6499,36,No,11,58,2,2,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,57.51845108166883,0,Medium,0.19778737442389918
68,Research & Development,1,Research Scientist,9724,45,No,7,48,1,2,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,47.49951549543122,0,Medium,0.20397220841548186
69,Research & Development,3,Research Scientist,2194,35,No,1,40,1,2,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 3 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,40.097766116330796,0,Medium,0.3819723686095622
70,Research & Development,1,Research Scientist,3388,36,Yes,9,75,3,4,2,1,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,74.90589064547815,1,Low,0.1983408996204174
71,Sales,4,Sales Executive,5473,59,No,1,52,3,1,2,0,The work in Sales Executive is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"sales, executive, okay, challenges, balance",0,52.6763068524579,0,Medium,0.20653723598479712
72,Research & Development,5,Research Scientist,2703,29,No,2,65,2,3,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,64.93978379071646,1,Low,0.19902141742808538
73,Research & Development,1,Research Scientist,2501,31,No,1,65,2,3,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,64.9331324417903,1,Low,0.22773652408879624
74,Research & Development,10,Research Scientist,6220,32,No,1,58,2,2,3,0,The work in Research Scientist is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"research, scientist, challenges, balance, overtime",0,57.53227024708094,0,Medium,0.1343381032605444
75,Research & Development,1,Laboratory Technician,3038,36,No,6,78,4,2,3,0,Great career growth opportunities in Laboratory Technician. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, laboratory",0,77.51852313662,1,Low,0.18384399320332134
76,Research & Development,11,Manufacturing Director,4424,31,No,8,85,4,3,3,0,Great career growth opportunities in Manufacturing Director. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, director",0,84.93938951062836,1,Low,0.09702274100279269
77,Sales,15,Sales Executive,4312,35,No,1,55,1,3,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,54.94838911274693,0,Medium,0.15403743554901114
78,Research & Development,0,Research Director,13245,45,Yes,6,70,1,4,4,0,Very satisfied with my role after 0 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",1,69.73035734628252,1,Low,0.09091661806869614
79,Research & Development,5,Research Director,13664,37,No,7,68,3,1,4,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,67.51888968854699,0,Medium,0.07335245321355958
80,Human Resources,4,Human Resources,5021,46,Yes,5,58,2,2,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",1,57.52172158360134,0,Medium,0.20209738032079724
81,Research & Development,10,Laboratory Technician,5126,30,Yes,1,85,4,4,2,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,84.9177218324242,1,Low,0.08019755665081696
82,Research & Development,6,Research Scientist,2859,35,No,1,68,3,2,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,67.5342101120152,0,Medium,0.16267179507808974
83,Sales,1,Sales Executive,10239,55,No,1,70,4,1,3,0,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",0,70.08138015711272,1,Low,0.1088112230213588
84,Research & Development,13,Research Scientist,5329,38,Yes,6,78,4,2,3,0,Great career growth opportunities in Research Scientist. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",1,77.53233964209261,1,Low,0.09634980855652257
85,Research & Development,5,Manufacturing Director,4325,34,No,1,50,2,1,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,50.11829228283,0,Medium,0.2462483020258152
86,Research & Development,6,Manufacturing Director,7260,56,No,7,85,4,4,2,0,Very satisfied with my role after 6 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.89229061244274,1,Low,0.0829831544347748
87,Sales,0,Sales Representative,2322,23,No,2,55,1,3,3,0,Decent experience in Sales but career advancement opportunities could be better after 0 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",0,54.93428416195483,0,Medium,0.3102747203043772
88,Research & Development,4,Laboratory Technician,2075,51,No,9,92,4,4,3,0,Great career growth opportunities in Laboratory Technician. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, laboratory",0,92.33380436703669,1,Low,0.13182351011410084
89,Research & Development,11,Healthcare Representative,4152,30,No,2,85,4,3,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,84.94232446776942,1,Low,0.08578815747671865
90,Sales,9,Sales Executive,9619,46,No,9,85,4,3,3,1,Very satisfied with my role after 9 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.91627511761457,1,Low,0.06164717145554142
91,Research & Development,22,Healthcare Representative,13503,40,No,1,58,2,3,2,0,The work in Healthcare Representative is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"healthcare, representative, challenges, balance, overtime",0,57.50220736493718,2,Low,0.04280321658974816
92,Sales,10,Sales Executive,5441,51,Yes,21,70,4,3,1,0,I really appreciate the Sales team culture. Work-life balance is excellent and management is supportive.,0.8357,0.426,0.574,0.0,Positive,0.5666666666666667,0.7333333333333334,"sales, team, culture, balance, excellent",1,70.06965960508317,1,Low,0.1721963977197484
93,Sales,11,Sales Executive,5209,30,Yes,4,58,2,3,2,0,Decent experience in Sales but career advancement opportunities could be better after 11 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",1,57.51253726641461,1,Low,0.16662412624322492
94,Research & Development,10,Healthcare Representative,10673,46,Yes,1,48,1,3,2,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",1,47.491157862210414,0,Medium,0.12140077766735712
